se1_frc,se1_wattemp,se1_cond_unadjusted,se4_frc,se1_cond
0.26,30.4,0.468,0.10,468
0.29,30.1,0.456,0.18,456
0.36,31.4,0.453,0.11,453
0.44,30.1,0.463,0.27,463
0.44,30.6,0.624,,624
0.43,30.5,0.501,0.12,501
0.31,30.9,0.549,0.07,549
2.20,29.6,0.920,1.01,920
2.20,30.2,1.04,1.50,1040
2.30,30.6,0.827,0.10,827
2.30,30.9,0.91,1.68,910
2.30,30.7,0.837,1.78,837
2.30,30.9,0.97,1.64,970
2.30,32.4,0.828,,828
2.30,29.7,0.832,1.88,832
2.30,30.1,0.833,1.70,833
2.40,30.3,0.844,0.61,844
2.30,30.7,0.831,1.90,831
2.30,31.4,0.847,1.92,847
2.20,30.1,0.843,0.06,843
2.30,32.0,0.862,0.62,862
1.24,30.2,0.648,0.23,648
1.32,30.9,0.486,1.04,486
1.24,31.3,0.462,0.07,462
1.16,31.5,0.473,1.08,473
1.08,31.7,0.569,,569
1.22,30.3,0.396,,396
1.16,31.0,0.351,0.98,351
1.12,31.2,0.457,0.78,457
1.22,31.1,0.363,0.80,363
1.22,31.7,0.401,0.08,401
0.19,30.2,0.549,0.11,549
0.20,29.9,0.627,0.10,627
0.12,29.9,0.520,0.07,520
0.24,30.3,0.521,0.07,521
0.21,30.4,0.647,0.11,647
0.18,30.7,0.534,0.06,534
0.28,29.9,0.404,0.03,404
0.26,30.2,0.474,0.08,474
0.20,30.2,0.399,0.06,399
0.31,31.2,0.432,0.01,432
0.23,30.4,0.410,0.05,410
0.27,31.4,0.405,,405
0.92,27.9,714,0.47,714
0.83,28.1,788,0.32,788
0.95,28.3,704,0.04,704
1.01,29.4,711,0.44,711
1.36,28.7,1387,0.32,1387
1.74,29.3,1359,1.12,1359
2.02,29.3,357,1.51,357
1.88,30.0,355,1.14,355
1.01,28.4,863,0.41,863
0.92,28.8,864,0.54,864
0.88,29.1,854,0.46,854
0.82,30.0,936,0.39,936
0.88,28.4,1117,0.12,1117
1.01,28.9,1103,0.64,1103
1.10,29.3,1133,0.65,1133
0.86,28.4,1210,0.09,1210
1.10,28.4,1147,0.42,1147
0.87,29.5,1124,0.14,1124
0.96,27.7,1322,0.61,1322
0.98,27.8,1319,0.09,1319
0.98,28.9,1318,0.17,1318
1.14,28.8,1322,1.26,1322
0.88,28.1,1475,0.15,1475
1.23,28.0,1359,0.16,1359
0.73,27.9,1258,0.24,1258
1.12,27.6,1282,0.52,1282
1.20,27.6,816,0.91,816
1.28,27.9,759,1.06,759
1.30,28.0,816,0.70,816
1.04,27.9,764,0.09,764
0.93,28.2,846,0.54,846
0.90,27.8,902,0.85,902
0.96,27.4,905,0.53,905
1.01,27.4,695,0.31,695
1.22,27.0,413,0.02,413
1.06,26.7,415,0.74,415
1.04,26.2,425,,425
1.20,25.9,414,0.14,414
1.24,26.1,537,0.92,537
1.08,26.7,520,,520
1.08,26.2,518,,518
0.97,27.1,514,0.73,514
1.32,26.8,464,0.68,464
1.28,26.0,469,1.38,469
1.24,26.6,454,,454
1.46,25.5,470,0.90,470
1.36,27.5,359,0.88,359
1.32,27.8,390,1.14,390
1.28,26.5,946,0.80,946
0.87,27.6,706,0.32,706
0.99,26.2,709,0.77,709
1.14,27.4,1063,0.97,1063
1.40,26.7,364,0.77,364
1.46,26.9,1139,0.84,1139
0.82,27.4,661,0.59,661
0.89,28.4,748,0.44,748
1.26,27.0,925,0.54,925
0.64,27.2,1386,0.25,1386
0.92,26.3,1217,0.43,1217
1.54,27.2,,0.10,
1.04,26.8,710,0.14,710
0.58,28.4,1175,0.32,1175
1.02,26.2,755,,755
0.71,25.9,690,0.32,690
0.77,27.0,894,,894
0.65,27.5,793,0.49,793
0.77,28.1,1161,0.28,1161
0.79,26.6,1236,,1236
0.96,27.0,1039,0.27,1039
1.04,29.4,1153,0.87,1153
1.16,29.7,1164,0.57,1164
1.32,28.3,391,,391
0.91,28.1,828,0.08,828
0.68,28.1,1486,0.33,1486
1.01,26.7,885,0.68,885
0.98,27.0,1242,0.07,1242
1.06,26.5,692,0.78,692
1.28,28.0,416,0.11,416
0.84,26.4,918,0.20,918
0.94,27.2,1088,0.38,1088
0.75,28.3,1680,0.14,1680
0.38,27.2,830,0.17,830
0.76,26.5,933,0.74,933
0.67,26.7,660,0.63,660
1.14,26.0,941,0.04,941
1.14,27.5,812,0.81,812
1.08,26.9,657,0.69,657
0.90,27.1,747,0.78,747
0.45,27.4,1143,0.18,1143
0.72,26.4,1217,0.36,1217
0.85,26.8,1120,0.54,1120
0.64,27.0,1398,0.26,1398
0.70,26.1,1304,0.20,1304
0.51,27.2,1287,0.40,1287
1.02,27.3,809,0.08,809
1.10,27.1,895,0.92,895
1.12,26.7,1439,0.17,1439
1.98,26.0,1137,0.89,1137
0.94,26.3,715,0.71,715
0.87,27.1,706,0.76,706
1.22,27.0,586,0.74,586
0.64,27.0,1369,0.05,1369
1.18,26.3,433,0.99,433
0.94,27.2,1193,0.06,1193
0.68,27.8,1604,0.31,1604
0.90,27.0,1717,,1717
0.39,27.0,862,,862
0.90,26.1,1051,0.59,1051
0.62,27.0,1504,0.05,1504
1.28,26.7,1054,0.59,1054
0.98,26.6,1453,0.44,1453
0.54,27.2,866,0.06,866
1.54,26.1,,1.08,
0.83,26.9,1063,0.61,1063
1.01,27.6,1161,0.08,1161
0.94,28.3,1150,0.63,1150
0.71,25.6,680,0.27,680
0.89,26.1,904,0.79,904
0.94,26.7,1204,0.08,1204
0.45,27.5,1800,0.36,1800
0.69,26.4,827,0.34,827
0.67,27.1,1397,0.58,1397
0.78,26.5,663,0.06,663
1.28,27.6,417,0.89,417
0.65,27.1,660,0.44,660
1.34,26.2,942,0.22,942
0.90,26.6,1114,0.02,1114
0.82,26.9,1116,0.31,1116
0.54,26.9,1026,0.26,1026
0.98,27.2,935,0.74,935
1.28,27.3,362,0.61,362
0.75,26.5,1413,0.37,1413
0.87,26.7,921,0.60,921
0.50,26.6,921,0.05,921
0.63,26.5,1275,0.33,1275
1.32,26.7,,0.77,
0.98,26.4,1053,0.21,1053
0.79,27.4,1777,0.16,1777
1.04,26.4,957,0.70,957
0.99,26.1,1547,0.69,1547
0.71,27.3,1518,0.07,1518
0.49,27.0,1562,0.28,1562
1.18,26.2,945,1.10,945
0.93,25.9,873,0.45,873
0.64,26.6,1376,0.22,1376
0.68,27.2,1145,0.65,1145
0.84,27.4,1733,0.22,1733
1.84,26.7,553,1.42,553
0.58,27.0,1480,0.17,1480
0.55,26.2,1214,0.79,1214
0.84,27.0,1212,0.05,1212
1.12,26.8,1203,0.35,1203
0.79,26.7,826,0.46,826
0.89,26.5,836,0.53,836
0.69,26.5,702,0.19,702
0.74,26.7,633,0.79,633
0.85,25.2,1438,0.76,1438
0.91,26.9,1139,0.10,1139
0.67,27.5,772,0.29,772
1.01,26.3,854,1.24,854
0.74,26.8,1050,0.10,1050
1.20,27.3,606,0.20,606
0.98,26.3,1123,,1123
1.00,25.2,,0.11,
1.02,25.5,1029,0.74,1029
1.16,26.8,416,0.64,416
1.14,26.8,406,0.84,406
0.74,26.7,914,0.09,914
0.85,27.4,746,0.73,746
4.50,24.8,1782,2.70,1782
3.90,25.9,888,0.98,888
0.65,26.5,1480,0.08,1480
0.57,26.3,1375,0.11,1375
0.79,25.2,680,0.44,680
0.86,25.0,955,0.75,955
0.93,25.8,931,0.46,931
0.66,25.6,661,0.52,661
0.99,26.2,938,0.14,938
0.82,25.5,933,0.25,933
0.78,25.7,947,0.12,947
0.75,26.4,1001,0.06,1001
0.69,26.1,1266,0.14,1266
0.67,26.2,1365,0.36,1365
1.28,26.9,,0.47,
0.75,26.8,955,0.42,955
0.85,26.1,1598,0.05,1598
0.90,26.6,1502,0.10,1502
0.97,26.2,1203,0.82,1203
0.89,26.4,768,0.41,768
0.70,27.4,1516,0.05,1516
0.67,27.0,1552,0.39,1552
0.76,27.1,1896,0.73,1896
0.66,26.2,834,0.56,834
1.04,26.7,937,0.82,937
0.82,27.2,1147,0.08,1147
0.84,26.2,1084,0.08,1084
0.84,27.4,1872,0.26,1872
0.91,26.8,1114,0.20,1114
0.72,27.2,776,0.25,776
0.77,17.0,1120,0.65,1120
0.93,17.0,,0.73,
0.80,17.1,1112,0.12,1112
0.83,17.1,,0.91,
0.75,17.3,1157,0.54,1157
0.81,16.6,,0.25,
0.78,18.1,1634,0.52,1634
0.79,18.7,1421,0.49,1421
0.80,18.6,1422,0.14,1422
0.87,18.4,1413,0.16,1413
0.90,17.9,1435,0.60,1435
0.49,21.4,1494,0.35,1494
0.63,22.3,,0.51,
0.46,21.4,,0.33,
0.62,20.9,,0.36,
0.55,21.5,1452,0.43,1452
0.62,21.1,,0.25,
0.62,22.2,1506,0.27,1506
0.66,22.3,,0.51,
0.66,25.5,1466,0.60,1466
0.73,26.1,1470,0.39,1470
0.69,24.4,1469,0.54,1469
0.67,23.8,1458,0.45,1458
0.71,23.1,1471,,1471
0.76,22.6,1480,0.06,1480
0.78,25.5,1420,0.62,1420
0.79,24.4,1242,0.52,1242
0.75,25.1,1246,,1246
0.83,21.4,1421,,1421
0.79,20.8,1385,0.01,1385
0.89,20.4,1385,0.08,1385
0.84,20.0,,0.39,
0.78,20.9,1471,0.36,1471
0.83,20.4,,0.38,
0.73,20.7,1435,0.22,1435
0.76,18.9,1393,0.01,1393
0.68,19.4,,,
0.79,18.7,1390,0.67,1390
0.95,22.7,1299,0.82,1299
0.84,21.8,1201,0.68,1201
0.66,20.4,1244,0.52,1244
0.71,19.0,1310,0.55,1310
0.69,18.0,1287,0.63,1287
1.04,20.1,798,0.73,798
0.67,19.9,680,0.48,680
0.63,18.4,686,0.30,686
0.67,17.7,675,0.46,675
0.72,17.6,777,0.53,777
0.64,17.6,676,0.55,676
0.64,17.7,1255,0.69,1255
0.89,17.7,683,0.39,683
0.76,21.1,677,0.54,677
0.76,20.5,839,0.69,839
0.80,18.6,1127,0.64,1127
0.84,18.2,1122,0.65,1122
1.03,17.6,1162,0.75,1162
0.84,18.8,952,0.55,952
0.82,18.6,1655,0.55,1655
0.80,18.1,1624,0.34,1624
0.80,17.2,1696,0.66,1696
0.70,18.2,889,0.33,889
0.89,20.9,1015,0.45,1015
0.89,22.2,1017,0.50,1017
0.61,21.1,979,0.51,979
0.58,21.8,1153,0.02,1153
0.74,19.1,1090,0.53,1090
0.67,19.8,1247,0.45,1247
0.81,19.8,1131,0.54,1131
0.76,20.7,956,0.54,956
0.63,18.3,1076,0.45,1076
0.67,22.1,947,0.52,947
0.98,18.4,1708,0.65,1708
0.63,16.4,823,,823
0.70,18.8,995,,995
0.64,21.5,1062,0.12,1062
0.67,21.8,935,0.56,935
0.72,18.8,1125,0.06,1125
0.52,21.4,1024,0.32,1024
0.64,19.8,627,0.27,627
0.81,20.2,949,0.40,949
0.73,18.3,1680,0.38,1680
0.73,19.2,1077,0.60,1077
0.71,21.3,945,0.19,945
0.72,17.0,803,0.49,803
0.57,17.9,1086,0.50,1086
0.69,18.5,1285,0.21,1285
0.67,21.2,1402,,1402
0.66,21.5,928,0.27,928
0.63,19.4,1303,0.27,1303
0.68,20.8,705,0.63,705
0.64,21.9,1503,0.36,1503
0.86,18.5,1172,0.55,1172
0.92,18.2,1685,0.04,1685
0.74,19.2,947,0.60,947
0.70,18.5,1086,0.51,1086
0.66,20.7,952,0.23,952
0.70,17.0,925,0.52,925
0.68,18.9,1290,0.49,1290
0.71,20.9,1522,0.16,1522
0.67,21.6,922,0.26,922
0.65,21.0,706,0.51,706
0.73,18.0,1672,0.55,1672
0.74,17.7,1257,0.50,1257
0.84,17.9,1622,0.38,1622
0.65,20.4,966,0.09,966
0.66,20.3,955,0.12,955
0.67,18.5,963,0.58,963
0.73,16.5,940,0.48,940
0.71,18.3,1094,0.54,1094
0.65,17.7,1031,0.30,1031
0.66,17.6,1194,0.59,1194
0.71,20.8,1539,,1539
0.66,20.1,1926,0.13,1926
0.74,19.1,704,0.46,704
1.08,,,1.06,
1.02,,,1.00,
1.12,,,0.87,
0.80,,,0.76,
0.89,,,0.80,
0.84,,,,
0.82,,,0.68,
0.75,,,0.70,
0.75,,,0.55,
0.80,,,0.55,
0.75,,,0.46,
0.68,,,,
0.72,,,0.72,
0.73,,,0.66,
0.70,,,0.62,
0.71,,,0.33,
0.75,,,0.04,
0.63,,,0.48,
0.55,,,0.40,
0.59,,,,
1.18,,,0.88,
0.67,,,0.68,
0.72,,,0.67,
0.69,,,0.55,
0.72,,,0.65,
0.69,,,0.43,
0.37,16.7,72.5,0.28,725
0.33,16.2,23.4,0.06,234
0.35,18.1,70.9,0.16,709
0.36,16.7,68.7,0.21,687
0.23,17.2,67.4,0.21,674
0.34,18.7,66.0,,660
0.33,19.2,81.2,0.26,812
0.36,19.3,70.2,0.29,702
0.33,18.3,80.5,0.36,805
0.41,18.0,78.2,0.26,782
0.33,18.5,75.4,0.15,754
0.44,19.7,76.2,,762
0.38,18.7,77.2,0.33,772
0.38,19.2,76.8,0.18,768
0.75,20.7,85.3,0.57,853
0.78,20.9,82.0,0.29,820
